Product,Category,total_sold,Category_EN
Regio verde 600 hojas 4 rollos,Papel,41,Paper
Sanitas,Limpieza,35,Cleaning
Santa Clara entera,Lácteos,24,Dairy
Semanal,Velas,20,Candles
Quality 600 hojas 6 rollos,Papel,16,Paper
Santa Clara deslactosada,Lácteos,14,Dairy
Sol limón,Botanas,14,Snacks
Top tops salsa negra,Botanas,14,Snacks
Sol taco original,Botanas,14,Snacks
Sol adobada,Botanas,13,Snacks
Solchesitos queso,Botanas,12,Snacks
Sol rifaditas,Botanas,11,Snacks
Sol original,Botanas,11,Snacks
Pétalo jumbo servitoalla,Papel,11,Paper
Sol taco extremo,Botanas,11,Snacks
